%PumpFlow        PumpHead
2400.7  859.97
2453.5  854.72
2454.2  855.42
2381.3  861.25
2508.2  853.2
2465    856.79
2402.1  859.11
2504.7  852.84
2264.8  869.51
2395.1  860.33
2329.8  865.3
2627.9  841.88
2426.4  857.75
2407.6  860.76
2436    855.69
2431.7  857.54
2570.1  847.69
2477.5  852.7
2444.6  858.03
2416.9  859.18
2342.4  864.71
2424.3  858.2
2367.7  863.15
2426    858.34
2456.4  855.17
2463.8  854.79
2513.6  852.89
2572.2  848.1
2597.8  845.49
2626.7  842.97
2508.9  852.18
2537.7  849.53
2374.3  863.18
2338.6  864.75
2330.1  863.21
2399.6  858.55
2503.1  853.73
2404.7  859.84
2520.4  851.13
2502.2  853.39
2386.6  859.11
2361.7  862.39
2381.8  861.93
2347.9  861.4
2152.2  874.47
2262.2  868.45
2272.5  866.67
2237.5  868.69
2295.7  868.46
2073.7  876.82
2215.7  871.82
2948.2  812.76
2167    875.17
2043.5  878.26
2298.9  865.64
2231.8  868.31
2365.2  861.1
2304.4  865.65
2362.3  862.95
2488.7  854.41
2494.9  852.83
2531.2  850.12
2532.1  849.23
2401.9  860.77
2280.9  868.23
2553.3  849.19
2350.8  864.38
2378.4  861.7
2429.7  860.16
2400.4  860.44
2429.4  859.63
2543.7  850.93
2409.1  862.38
2393.8  857.94
2511.6  851.14
2514.9  853.49
2167    875.33
2328.9  864.42
2424    855.11
2374    861.44
2571.2  848.93
2902    816.76
2284.5  868.99
2209.3  872.66
2225.7  869.72
2276.4  866.21
2339.9  864.93
2336.8  865.28
2311.9  865.34
2379.2  859.58
2347.3  864.01
2142.9  875.49
2418.5  858.55
2470.7  854.59
2345.6  862.4
2329.3  867.66
2243.2  871.26
2260.2  868.8
2333.2  864.38
2333.8  863.03
2325.7  864.35
2414.8  858.12
2499.6  851.73
2552.5  849.78
2199.3  872.68
2231.1  870.02
2240.1  869.3
2148.3  874.11
2206.8  870.96
2196.6  872.35
2266.2  869.3
2245.4  869.37
2367.7  862.43
2251.2  868.96
2280.4  867.66
2356.5  862.85
2273.8  869.46
2420.4  858.45
2469.1  855.23
2549.6  849.28
2444.6  856.47
2417.8  857.68
2481.2  852.45
2432.7  856.72
2534.7  850.6
2455.9  856.64
2551.5  848.55
2461.3  855.73
2391.2  863.34
2420.9  859.51
2499.3  851.53
2464    857.34
2502.2  855.03
2384.9  859.97
2445.9  856.95
2615.8  843.51
2435.7  855.71
2522.9  850.76
2603.5  845.23
2545.2  849.06
2566    847.52
2645.8  841.58
2592.7  845.97
2557.9  847.59
2551.8  849.82
2639.4  843.24
2561.2  849
2542.6  849.6
2571.3  847.87
2471.1  853.78
2469.6  857.15
2651.5  840.31
2507.6  852.41
2444.7  855.72
2473.2  856.29
2507.7  853.03
2531.6  849.88
2647.1  843.68
2453.4  855.43
2459.7  857.8
2346.4  863.85
2566.2  849.14
2601    845.98
2534.1  850.02
2534.8  850.87
2551.5  849.41
2624.5  842.24
2642.3  840.18
2448.4  857.15
2529.4  850
2726.3  834.82
2642.2  841.2
2718.9  834.67
2534.3  850.81
2584.4  847.45
2689.3  835.92
2665.8  839.05
2601.5  845.4
2601.5  846.82
2527.6  852.15
2565.7  848.16
2490    853.96
2712.7  835.41
2732.3  834.44
2691.2  837.34
2566.8  846.88
2629.9  842.17
2609.1  844.36
2675    836.15
2622.5  841.97
2569.3  847.17
2560.9  848.52
2542.1  848.51
2604    843.41
2610.2  845.94
2610.7  843.71
2659.7  838.21
2662.9  841.44
2681    838.37
2563.9  848.58
2645.5  841.48
2587.5  846.18
2645.7  841.87
2662.5  839.06
2654.8  841.65
2532.2  850.06
2653    839.59
2608.5  844.66
2773.3  829.67
2770.8  831.24
2584.4  845.14
2577.4  846.38
2578.2  847.54
2567.2  848.38
2655.9  840.98
2575.2  846.63
2575.2  846.67
2635.2  843.25
2645.7  842.5
2674.7  840.58
2642.1  842.35
2569.8  846.5
2713.9  835.05
2715.7  835.4
2718.5  835.86
2677.7  838.03
2687.3  838
2566.2  847.19
2577.2  847.04
2627.9  842.47
2568.8  848.06
2581.4  845.14
2553.4  848.27
2610    844.9
2662.7  840.03
2677.2  837.83
2639.4  842.14
2581.1  846.95
2633.9  842.6
2644.6  841.75
2644.8  842.36
2691.9  837.09
2555    848.56
2576.1  846.06
2688.3  838.29
2612.4  842.88
2537.6  848.86
2572.2  849.1
2587    846.23
2592.3  845.86
2520.6  850.73
2549.6  849.31
2753.3  832.17
2944.9  813.77
2636.8  842.75
2477.3  854.83
2508.2  852.41
2537.2  851.39
2527.9  851.42
2534.3  850.97
2513.8  851.5
2390.7  859.95
2657    840.01
2714.1  835.3
2772.6  826.8
2808.4  827.43
2831.5  826.08
2803.6  826.64
2683    838.77
2647.7  841.01
2669.5  840.23
2714    836.37
2867.2  821.04
2841    823.63
2940.6  814.31
2743.3  831.41
2624.4  842.79
2590.5  846.27
2598.9  846.98
2639.7  842.29
2458.6  857.13
2523    852.86
2547.3  849.24
2608.1  843.42
2540    849.96
2597.7  847.45
2601.3  846
2609.3  845.05
2618.6  845.33
2638.2  843.61
2479.1  855.59
2502.7  852.75
2677.2  840.06
2764.2  830.87
2651.1  840.48
2618    839.91
2657.2  839.69
2575.2  846.86
2572.7  844.79
2628.2  843.02
2647.4  840.52
2663.5  840.47
2581.1  848.35
2592.4  846.54
2631.4  842.39
2601    843.38
2633.1  841.18
2601.6  843.97
2567.1  849.55
2543.9  848.86
2661.7  839.85
2657.2  840.15
2712.3  836.4
2607.2  844.93
2696.4  835.45
2703.2  837.64
2615.2  842.25
2575.2  848.28
2578.3  846.65
2597.7  845.04
2615.8  843.43
2653.9  842.28
2601.3  846.28
2631.2  842.09
2645.7  841.15
2638.1  840.48
2651.7  840.35
2612.5  845.02
2606.8  844.94
2613.7  843.27
2653.4  841.22
2603.5  843.43
2578.2  847.28
2565.7  847.69
2627.6  841.23
2555    847.68
2582.8  846.96
2461.6  855.45
2553.8  849.27
2569.3  848.52
2577.9  847.87
2638.5  842.53
2629.1  842.85
2657.6  841.41
2683.6  836.83
2645.4  839.97
2656.6  841.44
2627.3  843.23
2628.3  841.77
2584.1  846.44
2636.1  843.48
2681    837.61
2713.5  835.73
2660    838.84
2667.9  839.46
2598.4  844.76
2631.1  841.81
2686.1  837.29
2723.8  834.16
2652.8  839.77
2618.6  843.37
2671.6  838.54
2648.7  840.26
2697.9  834.4
2666.4  840.36
2739.2  831.52
2674.3  838.05
2677.6  839
2711.7  835.07
2717.7  835.23
2735.9  832.54
2672.6  838.35
2688.8  835.96
2756.1  832.19
2786.6  829.88
2839.7  822.1
2729.3  834.26
2587    846.07
2691.9  838.4
2648.5  842.41
2636.8  841.33
2683.7  838.92
2656.5  839.62
2630.4  843.6
2671    838.49
2708.8  836.01
2750.4  830.78
2596.8  843.9
2510.3  849.83
2571.7  846.33
2377.6  861.76
2546.6  849.57
2698.4  838.18
2680.1  838.81
2825.1  825.85
2838.3  823.86
2701.1  834.92
2752.7  831.72
2664.6  838.2
2613.2  843
2717.5  835.85
2598.7  845.82
2625    844.06
2642.3  841.68
2660.3  839.58
2683    838.53
2669.3  839.69
2674.1  837.24
2645.5  841.31
2641.6  842.46
2689.1  839.13
2650.5  842.23
2682.1  840.2
2648.7  841.34
2762    829.6
2639.7  842.07
2618.5  842.39
2539.8  848.5
2563.9  848.08
2526.8  850.99
2565.7  847.87
2594.8  846.2
2638.2  842.56
2621.9  843.52
2620.1  842.31
2600.1  846.84
2633    843.39
2665.2  838.54
2702.6  839.01
2674.4  841.26
2644.4  841.54
2613.7  843.48
2573.6  846.36
2604.7  843.44
2610.1  844.28
2622.5  842.58
2590    845.14
2600.9  844.66
2619.6  843.2
2593.2  844.13
2572.1  846.62
2589.8  848.11
2614.5  845.86
2612.7  844.08
2607.2  842.1
2635.4  840.06
2616.1  844.4
2616.6  842.98
2607.8  844.25
2591.5  847.5
2604.3  845.51
2552.5  849.69
2558.3  847.79
2616.1  844.93
2624.5  843.4
2607.7  845.14
2593.4  845.22
2557.7  849.18
2581.2  847.64
2651.4  840.73
2721.1  835.38
2682.7  837.3
2562.8  849.36
2639.8  841.95
2587.2  845.73
2583.6  845.55
2631.1  842.88
2605    844.84
2587    846.72
2324.3  864.49
2347.9  863.84
2601.4  846.33
