%1COND-HTR-04624(PV)	1COND-HTR-04624(SP)	1COND-HTR-04624(C)	1COND-HTR-04657
-0.329797417	0	69.72175598	62.4362793
-0.285151541	0	69.65309143	62.22003937
-0.240505636	0	69.58441925	62.31115723
-0.19585976	0	69.51574707	62.40227509
-0.115796179	0	70.04794312	62.49338913
-0.012120796	0	70.98070526	62.58450699
0.091554582	0	71.91346741	62.67562485
0.195229962	0	72.84623718	62.76674271
0.298905343	0	73.77899933	62.85785675
0.402580738	0	74.7117691	62.94897461
0.506256104	0	75.64453125	63.04009247
0.634604335	0	76.86250305	63.13120651
0.722689331	0	78.08046722	63.39577484
0.783932149	0	79.29843903	64.35413361
0.845175028	0	80.5164032	65.3125
0.906417847	0	81.734375	68.00976563
0.892928123	0	82.36486816	69.13378906
0.8794384	0	82.99536133	69.86132813
0.865948677	0	83.62585449	71.14794922
0.816905141	0	83.93554688	72.07496643
0.758973122	0	84.16503906	72.46259308
0.701041102	0	84.39453125	72.8502121
0.643109083	0	84.62402344	72.9488678
0.585177064	0	84.85351563	72.97528076
0.527245045	0	84.89181519	73.00169373
0.469313025	0	84.80265045	73.02811432
0.411381006	0	84.71348572	73.05452728
0.353448987	0	84.62432098	73.08094025
0.295516968	0	84.53515625	73.10736084
0.206656232	0	83.90289307	73.1337738
0.117795482	0	83.27062988	73.16018677
0.028934741	0	82.63837433	73.18659973
-0.059925999	0	82.00611115	73.21302032
-0.148786739	0	81.37384796	73.23943329
-0.227847859	0	80.74158478	73.16168213
-0.267710507	0	80.10932159	73.01448822
-0.30757314	0	79.47706604	72.86729431
-0.347435772	0	78.84480286	72.7201004
-0.387298405	0	78.21253967	72.57290649
-0.427161038	0	77.58027649	72.42571259
-0.467023671	0	76.94801331	72.27851868
-0.506886303	0	76.31575775	72.13132477
-0.546748936	0	75.68349457	71.98412323
-0.586611569	0	75.05123138	71.83692932
-0.626474202	0	74.29616547	71.68973541
-0.666336834	0	73.35688782	69.23046875
-0.693059802	0	72.53639984	68.28320313
-0.667224109	0	72.19107056	67.37918854
-0.641388476	0	71.84573364	65.82784271
-0.615552783	0	71.50040436	65.32337952
-0.58971709	0	71.15507507	65.08063507
-0.563881457	0	70.80973816	64.83789063
-0.542030871	0	70.46440887	64.59514618
-0.536120832	0	70.11907196	64.25090027
-0.530210793	0	69.77374268	63.83898544
-0.524300694	0	69.42840576	63.42707062
-0.518390656	0	69.08307648	63.01515579
-0.512480617	0	68.73773956	62.60324097
-0.447112083	0	68.99452972	62.4969101
-0.342104584	0	69.65273285	62.59429932
-0.237097099	0	70.31093597	62.69168854
-0.132089615	0	70.9691391	62.78908157
-0.027082125	0	71.62734222	62.88647079
0.074349917	0	72.28554535	62.98386002
0.161480173	0	72.94374847	63.08124924
0.248610422	0	73.6019516	63.17863846
0.360449225	0	74.67382813	63.27603149
0.488760382	0	76.02148438	63.37342072
0.617071509	0	77.36914063	63.47080994
0.686599731	0	78.48577118	63.88623047
0.71693927	0	79.44837952	64.51367188
0.754435241	0	80.41099548	65.56445313
0.820556641	0	81.37360382	66.61523438
0.853328943	0	82.18830109	68.94140625
0.836077511	0	82.78113556	69.78350067
0.818826139	0	83.3739624	70.62560272
0.801574707	0	83.96679688	71.65820313
0.758773804	0	84.20471954	72.3587265
0.7159729	0	84.44264984	72.64735413
0.673171997	0	84.68057251	72.93598175
0.630371094	0	84.91850281	73.22460938
0.58757019	0	85.15642548	73.2350235
0.544769287	0	85.39435577	73.24544525
0.484502614	0	85.35907745	73.25585938
0.398037314	0	84.91400146	73.2662735
0.311571985	0	84.46892548	73.27669525
0.225106671	0	84.02384949	73.28710938
0.138641357	0	83.5787735	73.2975235
0.052176043	0	83.13369751	73.30794525
-0.034289274	0	82.68862152	73.31835938
-0.098556072	0	82.13264465	73.3287735
-0.157273233	0	81.54894257	73.33919525
-0.215990409	0	80.96523285	73.34960938
-0.267450124	0	80.38153076	73.20728302
-0.308023661	0	79.79782104	73.06494904
-0.348597199	0	79.21411896	72.92262268
-0.389170766	0	78.63040924	72.78029633
-0.441003889	0	77.8248291	72.63796234
-0.495651901	0	76.96378326	72.49563599
-0.550299942	0	76.10273743	72.35330963
-0.604947984	0	75.24168396	72.21097565
-0.655662537	0	74.38063812	72.06864929
-0.690643311	0	73.51958466	70.02577972
-0.725624084	0	72.65853882	68.6480484
-0.720343471	0	72.10240173	66.64013672
-0.70499748	0	71.62248993	65.52480316
-0.689651489	0	71.14257813	65.01064301
-0.674305499	0	70.66266632	64.49648285
-0.651594579	0	70.33975983	63.98232269
-0.623973668	0	70.121521	63.60660172
-0.596352756	0	69.90327454	63.43854141
-0.568731904	0	69.68503571	63.27047729
-0.541110992	0	69.46679688	63.10241318
-0.513490081	0	69.24855804	62.93434906
-0.485869199	0	69.03031921	62.76628494
-0.458248317	0	68.81207275	62.6429863
-0.430627406	0	68.59383392	62.69873047
-0.374034882	0	68.66908264	62.75447464
