"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
258	2.78	2.91	2.9	18.36	46.69	40.71	32.73	298.0946643		
260	2.78	2.96	2.89	18.55	46.69	41.43	32.91	298.0946643		
262	2.79	2.96	2.42	18.36	46.69	38.71	34.18	298.6280675		
264	2.77	2.96	2.88	18.36	46.69	39.26	33.45	297.5603008		
266	2.78	2.86	2.85	17.99	46.87	39.44	32.55	298.0946643		
268	2.81	2.98	2.76	18.17	46.87	40.53	33.09	299.6920139		
270	2.78	3.02	2.86	18.36	46.69	40.71	33.45	298.0946643		
272	2.79	3.01	2.99	17.62	47.06	40.71	33.27	298.6280675		
274	2.78	2.97	2.91	17.99	46.87	40.35	33.27	298.0946643		
276	2.76	2.94	2.71	17.8	47.06	40.71	32.18	297.0249719		
278	2.69	2.88	2.81	17.62	47.06	39.08	33.09	293.2501904		
280	2.71	2.91	2.73	18.17	46.87	40.35	33.45	294.3336605		
282	2.75	2.89	2.73	17.99	46.87	40.71	33.09	296.4886723		
284	2.73	2.95	3.05	17.62	47.06	41.07	32.73	295.4131399		
286	2.78	2.96	2.61	18.36	46.69	40.71	32.55	298.0946643		
288	2.73	2.96	2.76	17.99	46.87	39.26	33.09	295.4131399		
290	2.76	2.96	2.74	18.55	46.69	40.89	33.64	297.0249719		
292	2.75	2.99	2.84	18.36	46.69	38.71	33.27	296.4886723		
294	2.78	2.95	2.75	18.17	46.87	37.99	32.91	298.0946643		
296	2.76	3	2.79	18.36	46.69	41.07	33.45	297.0249719		
298	2.8	3.06	2.86	18.55	46.69	39.26	33.45	299.1605157		
300	2.82	3.06	2.35	18.36	46.87	37.99	33.45	300.2225672		
302	2.82	3.02	2.83	18.36	46.69	41.25	33.45	300.2225672		
304	2.83	3.03	2.91	18.36	46.51	40.53	32.91	300.7521807		
306	2.84	3.07	2.84	17.99	46.87	40.89	33.27	301.2808593		
308	2.83	2.95	2.83	18.36	46.69	40.89	33.82	300.7521807		
310	2.82	3.06	2.79	17.62	47.06	39.62	32.91	300.2225672		
312	2.78	3.01	2.82	18.17	46.87	39.8	33.09	298.0946643		
314	2.79	2.76	2.82	18.17	46.69	40.35	32.91	298.6280675		
316	2.79	2.95	2.89	17.8	47.06	39.62	33.45	298.6280675		
318	2.76	3	2.92	17.8	46.87	38.35	33.45	297.0249719		
320	2.79	3.04	2.8	17.99	46.87	39.44	32.18	298.6280675		
322	2.84	3.02	2.71	17.62	47.06	39.98	32.37	301.2808593		
324	2.82	2.99	2.82	17.8	47.06	39.44	32.37	300.2225672		
326	2.78	3.02	2.89	17.8	46.87	39.08	33.27	298.0946643		
328	2.77	2.98	2.67	17.8	47.06	39.8	33.27	297.5603008		
330	2.77	2.8	2.78	18.36	46.69	38.35	32.91	297.5603008		
332	2.74	2.97	2.91	17.99	46.87	38.53	32	295.9513968		
334	2.74	2.96	2.74	17.8	46.69	40.71	33.27	295.9513968		
336	2.75	2.92	2.81	18.36	46.69	39.62	33.64	296.4886723		
338	2.71	2.83	2.68	17.99	46.87	40.16	33.45	294.3336605		
340	2.74	2.9	2.59	18.55	46.69	39.98	33.27	295.9513968		
342	2.72	2.94	2.82	18.36	46.69	39.98	32.91	294.8738963		
344	2.73	2.92	2.56	18.36	46.69	40.71	33.27	295.4131399		
346	2.74	2.94	2.76	18.55	46.69	40.53	33.64	295.9513968		
348	2.73	2.8	2.81	18.36	46.69	41.25	33.45	295.4131399		
350	2.72	2.91	2.73	18.36	46.69	39.62	34	294.8738963		
352	2.71	2.86	2.66	18.55	46.69	39.98	34	294.3336605		
354	2.75	2.95	2.9	17.99	46.87	40.16	32.91	296.4886723		
356	2.77	2.86	2.71	18.17	46.69	40.16	33.09	297.5603008		
358	2.75	2.97	2.89	18.55	46.69	40.16	32.91	296.4886723		
360	2.76	2.98	2.67	17.99	46.87	41.25	33.09	297.0249719		
362	2.78	2.95	2.81	18.17	46.69	40.71	33.64	298.0946643		
364	2.77	2.93	2.69	17.8	47.06	39.62	33.45	297.5603008		
366	2.74	2.91	2.77	17.99	47.06	40.53	34	295.9513968		
368	2.76	2.78	2.74	18.17	46.69	40.53	33.82	297.0249719		
370	2.77	2.97	2.88	17.62	47.06	40.35	32.73	297.5603008		
372	2.76	3.03	2.94	17.8	47.06	40.53	32.91	297.0249719		
374	2.74	2.95	2.82	17.8	46.87	41.25	32.37	295.9513968		
376	2.75	2.97	2.89	17.62	47.06	40.35	32.37	296.4886723		
378	2.79	2.87	2.82	17.8	47.06	40.35	32.55	298.6280675		
380	2.77	3	3.01	17.99	46.87	40.89	32.91	297.5603008		
382	2.79	3.03	2.93	17.8	47.06	40.89	32.73	298.6280675		
384	2.79	2.97	2.94	18.36	46.69	40.16	33.82	298.6280675		
386	2.78	2.82	2.93	17.99	46.87	39.8	33.45	298.0946643		
388	2.78	3.07	2.73	17.8	47.06	41.25	33.45	298.0946643		
390	2.81	3.03	2.86	18.55	46.69	39.98	33.45	299.6920139		
